Date,MKT,SMB,HML,MOM,RF
20160927,0.64,-0.07,-0.53,0.03,0.001
20160928,0.56,0.23,1.1,0.26,0.001
20160929,-0.98,-0.41,0.54,0.41,0.001
20160930,0.88,0.38,0.35,-0.33,0.001
20161003,-0.26,-0.03,-0.13,-0.07,0.001
20161004,-0.46,0.03,0.09,-0.56,0.001
20161005,0.58,0.28,0.78,-0.79,0.001
20161006,-0.06,-0.26,0.37,0.76,0.001
20161007,-0.38,-0.51,0.16,0.19,0.001
20161010,0.52,0.57,0.01,0.03,0.001
20161011,-1.3,-0.6,0.49,0.05,0.001
20161012,0.06,-0.23,0.37,0.59,0.001
20161013,-0.42,-0.68,-0.63,0.1,0.001
20161014,0.01,-0.36,0.57,0.34,0.001
20161017,-0.29,-0.05,0.14,0.52,0.001
20161018,0.6,-0.17,0.03,-0.3,0.001
20161019,0.25,0.05,0.91,-0.35,0.001
20161020,-0.16,-0.03,-0.11,-0.4,0.001
20161021,0.02,-0.13,-0.31,-0.26,0.001
20161024,0.54,0.06,-0.17,0.43,0.001
20161025,-0.46,-0.59,0.23,0.06,0.001
20161026,-0.23,-0.85,0.74,-0.75,0.001
20161027,-0.33,-0.96,0.6,-0.18,0.001
20161028,-0.29,-0.1,0.11,0.5,0.001
20161031,0.02,0.02,0.13,0.83,0.001
20161101,-0.68,-0.35,0.18,-0.27,0.001
20161102,-0.73,-0.67,0.36,0.19,0.001
20161103,-0.4,-0.47,1.02,0.85,0.001
20161104,-0.12,0.85,-0.43,-0.59,0.001
20161107,2.23,0.19,-0.16,-0.23,0.001
20161108,0.4,-0.08,-0.2,0.6,0.001
20161109,1.46,1.83,1,-2.08,0.001
20161110,0.32,1.13,1.81,-1.92,0.001
20161111,0.18,2.49,-0.04,-0.18,0.001
20161114,0.21,0.58,1.43,-1.49,0.001
20161115,0.8,-0.55,0.14,0.75,0.001
20161116,-0.12,0.3,-0.55,0.78,0.001
20161117,0.56,0.13,-0.13,-0.1,0.001
20161118,-0.16,0.56,0.39,0.19,0.001
20161121,0.77,-0.25,0.08,0.37,0.001
20161122,0.31,0.54,0.58,0.51,0.001
20161123,0.16,0.52,0.19,-0.45,0.001
20161125,0.4,-0.08,-0.24,0.07,0.001
20161128,-0.64,-0.76,0.06,0.63,0.001
20161129,0.11,-0.36,-0.06,0.33,0.001
20161130,-0.25,-0.38,2.25,-0.79,0.001
20161201,-0.36,-0.67,2.05,-0.45,0.001
20161202,0,0.05,-0.32,0.44,0.001
20161205,0.75,1.09,0.29,-0.25,0.001
20161206,0.48,0.63,0.23,-0.46,0.001
20161207,1.26,-0.63,0.53,0.17,0.001
20161208,0.36,1.15,0.59,-0.38,0.001
20161209,0.46,-0.28,0.12,-0.72,0.001
20161212,-0.3,-0.93,-0.1,0.14,0.001
20161213,0.6,-0.51,-0.29,-0.12,0.001
20161214,-0.82,-0.36,-0.28,0.08,0.001
20161215,0.46,0.37,0.28,0.29,0.001
20161216,-0.22,0.05,-0.42,-0.79,0.001
20161219,0.22,0.32,0.08,0.13,0.001
20161220,0.44,0.42,0.68,0.45,0.001
20161221,-0.24,-0.38,0.24,0.29,0.001
