Date,Volume,Close,Average
01/06/17,5907400,108.209999,107.6899985
02/06/17,10876900,107.18,107.794998
05/06/17,6372800,106.519997,106.665001
06/06/17,9589500,105.5,105.4000015
07/06/17,5777700,105.919998,105.8950005
08/06/17,11002400,104.32,105.040001
09/06/17,9392500,105.620003,105
12/06/17,8049500,107.040001,106.41
13/06/17,4918900,106.559998,106.710003
14/06/17,4781100,106.139999,106.385002
15/06/17,5309900,105.980003,105.6950035
16/06/17,8683400,105.510002,105.5599975
19/06/17,5956200,105.370003,105.595001
20/06/17,7895700,103.940002,104.5550005
21/06/17,7765700,104.800003,104.3100015
22/06/17,6156000,104.220001,104.4299965
23/06/17,18147900,104.360001,103.875
26/06/17,5867000,105.57,105.204998
27/06/17,5694500,105.410004,105.6450005
28/06/17,7874400,106.860001,106.029999
29/06/17,7268700,105.709999,106.370003
30/06/17,5113800,106.25,106.029999
03/07/17,5399400,107.459999,107.6900025
05/07/17,8049700,105.629997,106.5699995
06/07/17,8690800,103.349998,103.815002
07/07/17,6030900,103.32,103.225002
10/07/17,4421300,103.589996,103.3900035
11/07/17,4557300,103.839996,103.690002
12/07/17,5203300,104.379997,104.150002
13/07/17,5339500,104.290001,104.6899985
14/07/17,4370300,105.089996,104.830002
17/07/17,3973800,104.790001,105.0649985
18/07/17,5740500,105.75,105.0550005
19/07/17,5789400,106.82,106.460003
20/07/17,6185500,107.360001,107.2299995
21/07/17,4328500,107.089996,107.07
24/07/17,4615500,107,107.2200015
25/07/17,5394700,106.419998,106.9699975
26/07/17,4149000,106.940002,106.6699985
27/07/17,10468700,110,108.720001
28/07/17,4864500,109.959999,109.93
31/07/17,6815300,109.93,109.7399975
01/08/17,5987200,110.610001,110.3899995
02/08/17,8812700,108.669998,108.699997
03/08/17,6895800,109.120003,108.6100005
04/08/17,8503800,107.690002,107.91
07/08/17,8093100,106.349998,106.8800015
08/08/17,9787100,106.980003,106.6599995
09/08/17,27877600,102.830002,101.75
10/08/17,12259900,101.349998,102.0200005
11/08/17,9410400,101.989998,101.7700005
14/08/17,9707300,101.400002,102.035
15/08/17,8868500,101.510002,101.7299995
16/08/17,6698800,102.199997,102.1850015
17/08/17,6612400,101.379997,101.964996
18/08/17,6893900,100.699997,101.200001
21/08/17,6492700,101.169998,100.9749985
22/08/17,6888700,102.769997,102.040001
23/08/17,5954400,101.5,102.230003
24/08/17,6976600,101.519997,101.7299995
